krzyzowanie,mutacja,osobniki,pokolenia,skalowanie,elitaryzm,najlepszy,najgorszy,średni
0.7,0.07,50,600,1,0,19.892,29.892,23.754713
0.7,0.07,50,3000,1,0,19.272,19.072,19.260184
0.7,0.07,50,9000,1,0,20.64,25.832,23.588506
0.7,0.07,50,36000,1,0,18.832,21.0,19.108276
0.7,0.07,100,600,1,0,21.988,29.692,26.709159
0.7,0.07,100,3000,1,0,19.068,25.116,22.929773
0.7,0.07,100,9000,1,0,20.512,26.532,21.631295
0.7,0.07,100,36000,1,0,20.216,27.692,25.501455
0.7,0.07,250,600,1,0,21.14,30.688,26.804698
0.7,0.07,250,3000,1,0,20.748,31.376,26.81229
0.7,0.07,250,9000,1,0,19.388,30.16,24.301778
0.7,0.07,250,36000,1,0,21.064,27.88,24.338585
0.7,0.3,50,600,1,0,19.928,30.004,23.771556
0.7,0.3,50,3000,1,0,19.192,26.82,22.340121
0.7,0.3,50,9000,1,0,20.364,31.072,24.11996
0.7,0.3,50,36000,1,0,19.288,24.728,21.81701
0.7,0.3,100,600,1,0,18.728,26.756,21.730734
0.7,0.3,100,3000,1,0,22.208,29.14,25.176201
0.7,0.3,100,9000,1,0,18.548,28.64,23.036583
0.7,0.3,100,36000,1,0,22.164,28.788,24.82997
0.7,0.3,250,600,1,0,19.38,24.496,23.630405
0.7,0.3,250,3000,1,0,18.84,27.94,23.634966
0.7,0.3,250,9000,1,0,20.716,30.528,25.391206
0.7,0.3,250,36000,1,0,18.768,29.484,23.941146
0.3,0.07,50,600,0,1,18.96,27.516,22.220235
0.3,0.07,50,3000,0,1,18.96,27.844,21.972765
0.3,0.07,50,9000,0,1,18.96,26.464,22.386176
0.3,0.07,50,36000,0,1,18.72,26.428,23.298647
0.3,0.07,100,600,0,1,18.488,23.884,20.363066
0.3,0.07,100,3000,0,1,18.048,28.128,21.966978
0.3,0.07,100,9000,0,1,18.048,25.228,21.192409
0.3,0.07,100,36000,0,1,18.72,24.96,21.665577
0.3,0.07,250,600,0,1,18.784,29.036,22.966082
0.3,0.07,250,3000,0,1,18.28,24.616,22.143602
0.3,0.07,250,9000,0,1,18.72,28.344,21.907345
0.3,0.07,250,36000,0,1,19.2,24.892,22.217181
0.3,0.3,50,600,0,1,18.544,23.432,20.9248
0.3,0.3,50,3000,0,1,18.72,24.5,21.95645
0.3,0.3,50,9000,0,1,18.72,23.732,21.28265
0.3,0.3,50,36000,0,1,18.72,24.94,20.90005
0.3,0.3,100,600,0,1,18.792,26.452,21.592425
0.3,0.3,100,3000,0,1,18.72,27.484,22.687325
0.3,0.3,100,9000,0,1,18.72,26.664,21.34725
0.3,0.3,100,36000,0,1,19.56,26.076,22.173775
0.3,0.3,250,600,0,1,18.96,25.768,21.7841
0.3,0.3,250,3000,0,1,19.44,27.768,22.00828
0.3,0.3,250,9000,0,1,19.44,25.796,21.81295
0.3,0.3,250,36000,0,1,18.096,26.72,22.26753
0.5,0.07,50,600,0,1,18.856,23.716,21.485333
0.5,0.07,50,3000,0,1,18.488,26.244,23.503436
0.5,0.07,50,9000,0,1,18.16,25.66,21.674154
0.5,0.07,50,36000,0,1,18.16,27.756,20.917744
0.5,0.07,100,600,0,1,19.168,30.224,24.531057
0.5,0.07,100,3000,0,1,18.672,24.892,22.340611
0.5,0.07,100,9000,0,1,18.72,28.24,24.131873
0.5,0.07,100,36000,0,1,18.328,26.412,22.238981
0.5,0.07,250,600,0,1,18.4,32.184,24.42998
0.5,0.07,250,3000,0,1,18.4,26.568,24.387908
